Ps.no,Na-47,Pti,Pmln,Ppp,Ji,Mnk,Tlp
176,"Islamabad Model School for Girls (I-X) Gokina, Islamabad. (Male)",149,127,4,4,129,58
177,"Islamabad Model School for Girls (I-X) Gokina, Islamabad. (Female)",99,95,6,0,119,30
178,"Islamabad Model School for Girls (I-X) Gokina, Islamabad. (Male)",241,204,78,2,100,118
179,"Islamabad Model School for Girls (I-X) Gokina, Islamabad. (Female)",167,91,11,1,16,11
180,"Islamabad Model School for Boys (I-X) Talhar, Islamabad. (Male)",216,384,87,14,141,45
181,"Islamabad Model School for Boys (I-X) Talhar, Islamabad. (Female)",142,386,72,16,130,20
182,"Islamabad College for Girls (Post Graduate) F-6/2, Islamabad.  (Male) Hill Road Gate",244,64,8,13,14,2
183,"Islamabad College for Girls (Post Graduate) F-6/2, Islamabad. (Female)  Hill Road Ga",231,39,5,7,7,0
184,"Islamabad Model School (I-V) Street, F-6/4, Islamabad.(Male)",275,85,17,22,17,2
185,"Islamabad Model School (I-V) Street, F-6/4, Islamabad.(Female)",230,55,10,10,10,1
186,"Islamabad College for Girls (Post Graduate) F-6/2, Islamabad.  (Male)  School Road G",271,170,32,8,36,0
187,"Islamabad College for Girls (Post Graduate) F-6/2, Islamabad. (Female)  School Road",270,117,16,11,21,0
188,"Islamabad Model College for Girls Street No. 25 F-6/2, Islamabad. (Combined)",107,209,51,0,32,0
189,"Islamabad Model College for Girls Street No. 25 F-6/2, Islamabad. (Male)",163,184,89,2,54,0
190,"Islamabad Model College for Girls Street No. 25 F-6/2, Islamabad. (Female)",90,133,72,4,32,1
191,"Islamabad Model School for Girls (VI-X) F-6/1, Islamabad. (Male)",438,143,27,29,12,3
192,"Islamabad Model School for Girls (VI-X) F-6/1, Islamabad. (Female)",453,105,10,22,11,0
193,"Islamabad Model School (I-V) F-6/1, Islamabad. (Male)",279,75,11,25,8,3
194,"Islamabad Model School (I-V) F-6/1, Islamabad. (Female)",328,55,10,18,2,1
195,"Islamabad Model School (I-V) F-6/1, Islamabad. (Combined)",106,32,4,7,2,4
196,"Islamabad Model School for Girls (I-VIII) F-7/1, Islamabad. (Male)",293,80,4,17,11,1
197,"Islamabad Model School for Girls (I-VIII) F-7/1, Islamabad. (Female)",310,42,7,19,12,0
198,"Islamabad Model School for Girls (I-VIII) F-7/1, Islamabad. (Male)",180,50,6,13,4,6
199,"Islamabad Model School for Girls (I-VIII) F-7/1, Islamabad. (Female",168,32,0,8,6,1
200,"Islamabad Model School for Girls (I-VIII) F-7/4, Islamabad. (Male)",191,137,160,17,36,0
201,"Islamabad Model School for Girls (I-VIII) F-7/4, Islamabad. (Female)",169,80,115,14,18,0
202,"Islamabad Model School for Girls (I-VIII) F-7/4, Islamabad. (Male)",96,91,141,9,62,0
203,"Islamabad Model School for Girls (I-VIII) F-7/4, Islamabad. (Female)",64,67,82,6,21,2
204,"Islamabad Model School (I-V) E-7/4, Islamabad. (Male)",204,61,3,11,27,2
205,"Islamabad Model School (I-V) E-7/4, Islamabad. (Female)",218,44,4,3,12,1
206,"Islamabad Model College for Boys F-7/3, Islamabad. (Male)",171,31,5,4,4,2
207,"Islamabad Model College for Boys F-7/3, Islamabad. (Female)",172,16,3,5,0,1
208,"Islamabad Model College for Boys F-7/3, Islamabad. (Male)",218,74,9,9,9,2
209,"Islamabad Model College for Boys F-7/3, Islamabad. (Female)",255,58,7,13,9,0
210,"The Efa School System, Near Masjid Hasnan Kriman Opra Shehar, Bari Imam, Noor P",255,87,56,11,6,68
211,"The Efa School System, Near Masjid Hasnan Kriman Opra Shehar, Bari Imam, Noor P",179,48,39,5,5,35
212,"Asif Public Model School Mohalla Chowk Noor Pur Shahan, Islamabad. (Male)",257,130,37,15,3,57
